filename,words
1.jpg,٠٢٣١٠٣
2.jpg,٩٣٠٠٤٢
3.jpg,١٢١٢٣٤
4.jpg,٨٦٦٢٠٤
5.jpg,٢٨٩٨٠٤
6.jpg,٩٣٩٩٧٠
7.jpg,١٢٩٠٢٤
8.jpg,١٥٤٩٧٠
9.jpg,٣٦١٣٢٢
10.jpg,١٦٣٦٥٣
11.jpg,٧٣٤٤٣٥
12.jpg,٢٢٢٣٤٠
13.jpg,١٠٧١١٥
14.jpg,٠٤٧٩٨٦
15.jpg,٩٣٠٦٤٨
16.jpg,١٣٠٨٣٦
17.jpg,٠٠٧٢٤٥
18.jpg,٤٢٧٨٩٦
19.jpg,١٧٨٩١٤
20.jpg,٨٠٥٨٥٦
21.jpg,٣٤٤٣٤٦
22.jpg,٢٠٠٩١٣
23.jpg,٣١٣٠٠٧
24.jpg,٠٠١٩٠٢
25.jpg,٠٢٤٥٥٦
26.jpg,١١٤٢٦٠
27.jpg,٠٠٩٢٣١
28.jpg,١٩٣٩١٩
29.jpg,٨٤٧٧٩١
30.jpg,٠٧٩٤٤٠
31.jpg,٤٠١٧١٦
32.jpg,٦٩٨٦٢٩
33.jpg,٨٧٠٣٤٤
34.jpg,٠٢٨٠٩٢
35.jpg,٦٠٦٥٩٦
36.jpg,٤٠٦٩٠٧
37.jpg,٨٢٥٣٩٠
38.jpg,٢٢٠٦٨٤
39.jpg,٠١٦٤٨٥
40.jpg,٧٥٤٩٢٢
41.jpg,٥٩٨٥١٥
42.jpg,٨٣٠٦٣٩
43.jpg,١١٢٨٣٠
44.jpg,٥٦٤٥٦٢
45.jpg,٢٨٣٥٦٢
46.jpg,١٩١٣١٢
47.jpg,٦٧٨٩٧٧
48.jpg,٦١٣١٩٣
49.jpg,٢٥٦١٨٥
50.jpg,٩١٢٢٢٩
51.jpg,٢١٢٩٧٠
52.jpg,٤٨٠٨٣٥
53.jpg,٦٠٧٨٧٢
54.jpg,٩٠٩٧٦٨
55.jpg,٤٥٢٢١٣
56.jpg,٩٧٢٩٦٣
57.jpg,٩١٥٥٢٠
58.jpg,٢٢٥٩٩٦
59.jpg,٨٥٢٩٤٦
60.jpg,١٢٢٥٦٦
61.jpg,٢٠٢١٢٥
62.jpg,٧٨٤١٨٨
63.jpg,٦١٤٥٣٣
64.jpg,٧٥٤٢٠٣
65.jpg,٠٥١١٢٢
66.jpg,٠٧٩٤٨٦
67.jpg,٢٢٣٩٢٢
68.jpg,٤٣٨٣٣٩
69.jpg,١٨٣٧٣٧
70.jpg,٠٦٨٣٩٨
71.jpg,٩٣٦٦٣٣
72.jpg,٧٩٦٤٢٦
73.jpg,٥١٩٧٢٨
74.jpg,٧٩٢١٠٧
75.jpg,٧٣٥٤٩٠
76.jpg,٦٢٧٩٢٠
77.jpg,٢٥٠٣٧٥
78.jpg,٣٢٦٨٢٨
79.jpg,٣٤٩٤١٤
80.jpg,١٢٠٦٣٤
81.jpg,٠٤٢٨٦٠
82.jpg,٤٩٨٦٢١
83.jpg,٩٢٥٥٢٤
84.jpg,٧٣٩٩٩٣
85.jpg,٧٨٢٦٠٠
86.jpg,٩٨١٣٧٠
87.jpg,٤٨٨٥٩٧
88.jpg,٨٥٤٣٨٤
89.jpg,٩٨٨٣٦٤
90.jpg,٥٥٥٩٠٣
91.jpg,٩٦١٤٤٥
92.jpg,٠١٦١٢٢
93.jpg,٣٠٢٥٠٠
94.jpg,٠٧٨٦٧٣
